ind_number,ind_abbrev,ind_desc,SIC_code_low,SIC_code_high,SIC_desc
1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",100,999,NA
1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2000,2399,NA
1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2700,2749,NA
1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2770,2799,NA
1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",3100,3199,NA
1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",3940,3989,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",2500,2519,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",2590,2599,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3630,3659,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3710,3711,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3714,3714,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3716,3716,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3750,3751,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3792,3792,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3900,3939,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3990,3999,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",2520,2589,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",2600,2699,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",2750,2769,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",2800,2829,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",2840,2899,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",3000,3099,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",3200,3569,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",3580,3629,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Chemicals, Off Furn, Paper, Com Printing",3700,3709,NA
